date,topic_n,counts
2016-09-23,-1.0,32276.0
2016-09-23,0.0,80307.0
2016-09-23,1.0,19824.0
2016-09-23,2.0,9668.0
2016-09-23,3.0,6263.0
2016-09-23,4.0,4328.0
2016-09-23,5.0,3122.0
2016-09-23,6.0,2151.0
2016-09-23,7.0,1471.0
2016-09-23,8.0,860.0
2016-09-23,9.0,504.0
2016-09-23,10.0,310.0
2016-09-23,11.0,144.0
2016-09-23,12.0,59.0
2016-09-23,13.0,11.0
2016-09-24,-1.0,31118.0
2016-09-24,0.0,74343.0
2016-09-24,1.0,18477.0
2016-09-24,2.0,8837.0
2016-09-24,3.0,5890.0
2016-09-24,4.0,4181.0
2016-09-24,6.0,2145.0
2016-09-24,5.0,2912.0
2016-09-24,7.0,1408.0
2016-09-24,8.0,1009.0
2016-09-24,9.0,606.0
2016-09-24,10.0,290.0
2016-09-24,11.0,108.0
2016-09-24,12.0,41.0
2016-09-24,13.0,15.0
2016-09-25,-1.0,39527.0
2016-09-25,0.0,94388.0
2016-09-25,1.0,31545.0
2016-09-25,2.0,16577.0
2016-09-25,3.0,10908.0
2016-09-25,4.0,7584.0
2016-09-25,5.0,5644.0
2016-09-25,6.0,4017.0
2016-09-25,7.0,2851.0
2016-09-25,8.0,1745.0
2016-09-25,9.0,983.0
2016-09-25,10.0,507.0
2016-09-25,11.0,222.0
2016-09-25,12.0,81.0
2016-09-25,13.0,51.0
2016-09-26,-1.0,37576.0
2016-09-26,0.0,106018.0
2016-09-26,1.0,31819.0
2016-09-26,2.0,13789.0
2016-09-26,3.0,8340.0
2016-09-26,4.0,5668.0
2016-09-26,5.0,4091.0
2016-09-26,6.0,2961.0
2016-09-26,7.0,2175.0
2016-09-26,8.0,1448.0
2016-09-26,9.0,887.0
2016-09-26,10.0,515.0
2016-09-26,11.0,230.0
2016-09-26,12.0,69.0
2016-09-27,-1.0,92642.0
2016-09-27,0.0,204131.0
2016-09-27,1.0,61190.0
2016-09-27,2.0,33181.0
2016-09-27,4.0,14100.0
2016-09-27,5.0,10100.0
2016-09-27,6.0,7389.0
2016-09-27,7.0,5159.0
2016-09-27,9.0,2279.0
2016-09-27,10.0,1310.0
2016-09-27,11.0,774.0
2016-09-27,12.0,368.0
2016-09-27,13.0,159.0
2016-09-27,14.0,74.0
2016-09-27,15.0,32.0
2016-09-27,16.0,3.0
2016-09-27,3.0,20338.0
2016-09-27,8.0,3521.0
2016-09-28,0.0,129940.0
2016-09-28,1.0,38820.0
2016-09-28,2.0,20176.0
2016-09-28,3.0,13499.0
2016-09-28,4.0,10525.0
2016-09-28,5.0,8373.0
2016-09-28,-1.0,35192.0
2016-09-28,6.0,6895.0
2016-09-28,7.0,5525.0
2016-09-28,8.0,4409.0
2016-09-28,9.0,3466.0
2016-09-28,10.0,2773.0
2016-09-28,11.0,2028.0
2016-09-28,12.0,1536.0
2016-09-28,13.0,862.0
2016-09-28,14.0,340.0
2016-09-28,15.0,96.0
2016-09-28,16.0,35.0
2016-09-29,-1.0,35747.0
2016-09-29,0.0,124234.0
2016-09-29,1.0,40452.0
2016-09-29,2.0,20205.0
2016-09-29,3.0,12657.0
2016-09-29,4.0,8944.0
2016-09-29,5.0,6618.0
2016-09-29,6.0,5026.0
2016-09-29,7.0,3861.0
2016-09-29,8.0,2858.0
2016-09-29,9.0,1898.0
2016-09-29,10.0,1134.0
2016-09-29,11.0,588.0
2016-09-29,12.0,292.0
2016-09-29,13.0,118.0
2016-09-29,14.0,22.0
