date,topic_n,counts
2016-10-06,-1,40305.0
2016-10-06,0,113876.0
2016-10-06,1,29407.0
2016-10-06,2,14110.0
2016-10-06,3,9001.0
2016-10-06,4,6403.0
2016-10-06,5,4659.0
2016-10-06,6,3443.0
2016-10-06,7,2457.0
2016-10-06,8,1565.0
2016-10-06,9,895.0
2016-10-06,10,488.0
2016-10-06,11,224.0
2016-10-06,12,101.0
2016-10-06,13,64.0
2016-10-06,14,19.0
2016-10-06,15,18.0
2016-10-06,16,18.0
2016-10-06,17,17.0
2016-10-07,-1,46237.0
2016-10-07,0,193559.0
2016-10-07,1,68698.0
2016-10-07,2,31494.0
2016-10-07,3,17989.0
2016-10-07,4,10990.0
2016-10-07,5,6872.0
2016-10-07,6,4672.0
2016-10-07,7,2868.0
2016-10-07,8,1524.0
2016-10-07,9,712.0
2016-10-07,10,366.0
2016-10-07,11,179.0
2016-10-07,12,62.0
2016-10-07,13,23.0
2016-10-07,14,13.0
2016-10-07,15,12.0
2016-10-07,16,10.0
2016-10-08,0,195784.0
2016-10-08,1,57554.0
2016-10-08,2,23394.0
2016-10-08,3,13905.0
2016-10-08,4,9298.0
2016-10-08,5,6332.0
2016-10-08,6,4352.0
2016-10-08,7,3031.0
2016-10-08,8,1901.0
2016-10-08,-1,48007.0
2016-10-08,9,1060.0
2016-10-08,10,463.0
2016-10-08,11,162.0
2016-10-08,12,99.0
2016-10-08,13,48.0
2016-10-08,14,10.0
2016-10-09,-1,109403.0
2016-10-09,0,327618.0
2016-10-09,1,89233.0
2016-10-09,2,43258.0
2016-10-09,3,26591.0
2016-10-09,4,17513.0
2016-10-09,5,12583.0
2016-10-09,6,8934.0
2016-10-09,7,6325.0
2016-10-09,8,4003.0
2016-10-09,9,2195.0
2016-10-09,10,975.0
2016-10-09,11,466.0
2016-10-09,12,158.0
2016-10-09,13,70.0
2016-10-09,14,32.0
2016-10-09,15,11.0
2016-10-10,-1,64730.0
2016-10-10,0,224550.0
2016-10-10,1,63346.0
2016-10-10,2,27954.0
2016-10-10,3,17435.0
2016-10-10,4,12422.0
2016-10-10,5,9312.0
2016-10-10,6,7173.0
2016-10-10,7,5480.0
2016-10-10,8,4177.0
2016-10-10,9,2978.0
2016-10-10,10,2203.0
2016-10-10,11,1479.0
2016-10-10,12,792.0
2016-10-10,13,387.0
2016-10-10,14,225.0
2016-10-10,15,90.0
2016-10-10,16,11.0
2016-10-11,-1,58405.0
2016-10-11,0,211546.0
2016-10-11,1,51209.0
2016-10-11,2,22721.0
2016-10-11,3,14030.0
2016-10-11,4,9848.0
2016-10-11,5,7047.0
2016-10-11,6,5205.0
2016-10-11,7,3811.0
2016-10-11,8,2626.0
2016-10-11,9,1731.0
2016-10-11,10,1200.0
2016-10-11,11,767.0
2016-10-11,12,435.0
2016-10-11,13,260.0
2016-10-11,14,87.0
2016-10-11,15,39.0
2016-10-11,16,11.0
2016-10-12,-1,67892.0
2016-10-12,0,221911.0
2016-10-12,1,64626.0
2016-10-12,2,26537.0
2016-10-12,3,15471.0
2016-10-12,4,10320.0
2016-10-12,5,7306.0
2016-10-12,6,5070.0
2016-10-12,7,3222.0
2016-10-12,8,1944.0
2016-10-12,9,1293.0
2016-10-12,10,670.0
2016-10-12,11,374.0
2016-10-12,12,187.0
2016-10-12,13,117.0
2016-10-12,14,45.0
2016-10-12,15,11.0
