date,topic_n,counts
2016-10-17,0,36057.0
2016-10-17,1,9647.0
2016-10-17,2,3771.0
2016-10-18,-1,117071.0
2016-10-18,0,377742.0
2016-10-18,1,104329.0
2016-10-18,2,40944.0
2016-10-18,3,24680.0
2016-10-17,3,2246.0
2016-10-17,4,1592.0
2016-10-18,4,16747.0
2016-10-17,-1,11716.0
2016-10-18,5,11722.0
2016-10-17,5,1076.0
2016-10-17,6,748.0
2016-10-18,6,8212.0
2016-10-17,7,481.0
2016-10-18,7,5693.0
2016-10-17,8,336.0
2016-10-17,9,184.0
2016-10-17,10,93.0
2016-10-17,11,37.0
2016-10-17,12,16.0
2016-10-18,8,3555.0
2016-10-18,9,1993.0
2016-10-18,10,1014.0
2016-10-18,11,433.0
2016-10-18,12,130.0
2016-10-19,-1,188230.0
2016-10-19,0,512067.0
2016-10-19,1,144323.0
2016-10-19,2,71613.0
2016-10-19,3,44397.0
2016-10-19,4,30488.0
2016-10-19,5,22497.0
2016-10-19,6,16503.0
2016-10-19,8,7477.0
2016-10-19,7,11389.0
2016-10-19,9,4385.0
2016-10-19,10,2254.0
2016-10-19,11,735.0
2016-10-19,12,261.0
2016-10-18,13,15.0
2016-10-19,13,85.0
2016-10-19,14,22.0
2016-10-20,0,350233.0
2016-10-20,1,91167.0
2016-10-20,2,40627.0
2016-10-20,3,25334.0
2016-10-20,4,18253.0
2016-10-20,5,13979.0
2016-10-20,6,10946.0
2016-10-20,7,8341.0
2016-10-20,8,6505.0
2016-10-20,9,4897.0
2016-10-20,-1,103274.0
2016-10-20,10,3754.0
2016-10-20,11,2521.0
2016-10-20,12,1679.0
2016-10-20,13,1046.0
2016-10-20,14,602.0
2016-10-20,15,328.0
2016-10-20,16,232.0
2016-10-20,17,79.0
2016-10-20,18,23.0
2016-10-21,-1,84975.0
2016-10-21,0,274214.0
2016-10-21,1,77310.0
2016-10-21,2,33007.0
2016-10-21,3,20505.0
2016-10-21,4,13942.0
2016-10-21,5,10343.0
2016-10-21,6,7310.0
2016-10-21,7,5137.0
2016-10-21,8,3419.0
2016-10-21,9,2228.0
2016-10-21,10,1402.0
2016-10-21,11,701.0
2016-10-21,12,351.0
2016-10-21,13,169.0
2016-10-21,14,37.0
2016-10-22,-1,65651.0
2016-10-22,0,199155.0
2016-10-22,1,56095.0
2016-10-22,2,27120.0
2016-10-22,3,16950.0
2016-10-22,4,11741.0
2016-10-22,5,8741.0
2016-10-22,6,6195.0
2016-10-22,7,4327.0
2016-10-22,8,2830.0
2016-10-22,9,1705.0
2016-10-22,10,838.0
2016-10-22,11,432.0
2016-10-22,12,215.0
2016-10-22,13,88.0
2016-10-22,14,41.0
2016-10-22,15,31.0
2016-10-22,16,7.0
2016-10-22,17,7.0
2016-10-22,18,11.0
2016-10-22,19,6.0
2016-10-23,-1,123519.0
2016-10-23,0,373768.0
2016-10-23,1,98465.0
2016-10-23,2,42683.0
2016-10-23,3,26342.0
2016-10-23,4,17695.0
2016-10-23,5,12589.0
2016-10-23,6,8926.0
2016-10-23,7,6014.0
2016-10-23,8,3596.0
2016-10-23,9,1847.0
2016-10-23,10,956.0
2016-10-23,11,413.0
2016-10-23,12,138.0
2016-10-23,13,31.0
