date,topic_n,counts
2016-09-23,0.0,99848.0
2016-09-23,1.0,14580.0
2016-09-23,2.0,6394.0
2016-09-23,-1.0,27126.0
2016-09-23,3.0,4020.0
2016-09-23,4.0,2787.0
2016-09-23,5.0,2082.0
2016-09-23,6.0,1526.0
2016-09-23,7.0,1160.0
2016-09-23,8.0,829.0
2016-09-23,9.0,556.0
2016-09-23,10.0,268.0
2016-09-23,11.0,80.0
2016-09-23,12.0,34.0
2016-09-23,13.0,10.0
2016-09-24,0.0,92720.0
2016-09-24,1.0,13729.0
2016-09-24,2.0,5513.0
2016-09-24,-1.0,25703.0
2016-09-24,3.0,3616.0
2016-09-24,4.0,2696.0
2016-09-24,5.0,2089.0
2016-09-24,6.0,1659.0
2016-09-24,7.0,1250.0
2016-09-24,8.0,871.0
2016-09-24,9.0,637.0
2016-09-24,10.0,450.0
2016-09-24,11.0,215.0
2016-09-24,12.0,109.0
2016-09-24,13.0,48.0
2016-09-24,14.0,25.0
2016-09-24,15.0,25.0
2016-09-24,16.0,14.0
2016-09-24,17.0,11.0
2016-09-25,-1.0,32960.0
2016-09-25,0.0,113673.0
2016-09-25,1.0,25400.0
2016-09-25,2.0,12344.0
2016-09-25,3.0,8536.0
2016-09-25,5.0,4787.0
2016-09-25,6.0,3880.0
2016-09-25,7.0,3056.0
2016-09-25,8.0,2293.0
2016-09-25,9.0,1557.0
2016-09-25,10.0,1044.0
2016-09-25,11.0,559.0
2016-09-25,12.0,301.0
2016-09-25,13.0,130.0
2016-09-25,14.0,61.0
2016-09-25,15.0,25.0
2016-09-25,4.0,6013.0
2016-09-25,16.0,11.0
2016-09-26,-1.0,29759.0
2016-09-26,0.0,128438.0
2016-09-26,1.0,24182.0
2016-09-26,2.0,10208.0
2016-09-26,3.0,6256.0
2016-09-26,4.0,4632.0
2016-09-26,5.0,3371.0
2016-09-26,6.0,2691.0
2016-09-26,7.0,2054.0
2016-09-26,8.0,1550.0
2016-09-26,9.0,1050.0
2016-09-26,10.0,726.0
2016-09-26,11.0,395.0
2016-09-26,12.0,181.0
2016-09-26,13.0,59.0
2016-09-26,14.0,19.0
2016-09-26,15.0,8.0
2016-09-26,16.0,7.0
2016-09-27,-1.0,98677.0
2016-09-27,0.0,218401.0
2016-09-27,1.0,50573.0
2016-09-27,2.0,25018.0
2016-09-27,3.0,17260.0
2016-09-27,4.0,13026.0
2016-09-27,6.0,7509.0
2016-09-27,7.0,5545.0
2016-09-27,11.0,976.0
2016-09-27,12.0,660.0
2016-09-27,13.0,364.0
2016-09-27,14.0,253.0
2016-09-27,15.0,164.0
2016-09-27,16.0,110.0
2016-09-27,17.0,53.0
2016-09-27,18.0,28.0
2016-09-27,19.0,14.0
2016-09-27,20.0,13.0
2016-09-27,21.0,6.0
2016-09-27,22.0,12.0
2016-09-27,23.0,11.0
2016-09-27,25.0,11.0
2016-09-27,5.0,9946.0
2016-09-27,8.0,3976.0
2016-09-27,9.0,2566.0
2016-09-27,10.0,1578.0
2016-09-28,0.0,150704.0
2016-09-28,1.0,31165.0
2016-09-28,2.0,16109.0
2016-09-28,3.0,11423.0
2016-09-28,4.0,9148.0
2016-09-28,5.0,7609.0
2016-09-28,6.0,6353.0
2016-09-28,7.0,5392.0
2016-09-28,8.0,4562.0
2016-09-28,9.0,3963.0
2016-09-28,10.0,3109.0
2016-09-28,11.0,2504.0
2016-09-28,12.0,1964.0
2016-09-28,13.0,1411.0
2016-09-28,14.0,1024.0
2016-09-28,15.0,691.0
2016-09-28,-1.0,26902.0
2016-09-28,16.0,318.0
2016-09-28,17.0,83.0
2016-09-28,18.0,34.0
2016-09-28,19.0,22.0
2016-09-29,-1.0,26116.0
2016-09-29,0.0,141398.0
2016-09-29,1.0,31819.0
2016-09-29,2.0,16674.0
2016-09-29,3.0,11137.0
2016-09-29,4.0,8179.0
2016-09-29,5.0,6705.0
2016-09-29,6.0,5501.0
2016-09-29,7.0,4632.0
2016-09-29,8.0,3794.0
2016-09-29,9.0,3005.0
2016-09-29,10.0,2191.0
2016-09-29,11.0,1628.0
2016-09-29,12.0,913.0
2016-09-29,13.0,514.0
2016-09-29,14.0,257.0
2016-09-29,15.0,100.0
2016-09-29,16.0,69.0
2016-09-29,17.0,22.0
