date,topic_n,counts
2016-09-23,0.0,104528.0
2016-09-23,1.0,15039.0
2016-09-23,2.0,6552.0
2016-09-23,-1.0,27115.0
2016-09-23,3.0,3991.0
2016-09-23,4.0,2923.0
2016-09-23,5.0,2139.0
2016-09-23,6.0,1611.0
2016-09-23,7.0,1121.0
2016-09-23,8.0,662.0
2016-09-23,9.0,418.0
2016-09-23,10.0,224.0
2016-09-23,11.0,120.0
2016-09-23,12.0,65.0
2016-09-23,13.0,10.0
2016-09-24,0.0,94686.0
2016-09-24,1.0,13106.0
2016-09-24,2.0,5753.0
2016-09-24,-1.0,25198.0
2016-09-24,3.0,3549.0
2016-09-24,4.0,2624.0
2016-09-24,5.0,1955.0
2016-09-24,6.0,1479.0
2016-09-24,7.0,1110.0
2016-09-24,8.0,761.0
2016-09-24,9.0,500.0
2016-09-24,10.0,306.0
2016-09-24,11.0,163.0
2016-09-24,12.0,101.0
2016-09-24,13.0,45.0
2016-09-24,14.0,22.0
2016-09-24,15.0,22.0
2016-09-25,-1.0,31025.0
2016-09-25,0.0,117200.0
2016-09-25,1.0,24773.0
2016-09-25,2.0,12218.0
2016-09-25,3.0,8116.0
2016-09-25,4.0,5902.0
2016-09-25,5.0,4614.0
2016-09-25,6.0,3589.0
2016-09-25,7.0,2957.0
2016-09-25,8.0,2375.0
2016-09-25,9.0,1658.0
2016-09-25,10.0,1063.0
2016-09-25,11.0,613.0
2016-09-25,12.0,283.0
2016-09-25,13.0,138.0
2016-09-25,14.0,60.0
2016-09-25,15.0,35.0
2016-09-25,16.0,11.0
2016-09-26,-1.0,31762.0
2016-09-26,0.0,125823.0
2016-09-26,1.0,24338.0
2016-09-26,2.0,10697.0
2016-09-26,3.0,6483.0
2016-09-26,4.0,4659.0
2016-09-26,5.0,3499.0
2016-09-26,6.0,2585.0
2016-09-26,7.0,1944.0
2016-09-26,8.0,1457.0
2016-09-26,9.0,982.0
2016-09-26,10.0,638.0
2016-09-26,11.0,407.0
2016-09-26,12.0,211.0
2016-09-26,13.0,81.0
2016-09-26,14.0,20.0
2016-09-27,-1.0,97557.0
2016-09-27,0.0,223031.0
2016-09-27,1.0,51673.0
2016-09-27,2.0,24301.0
2016-09-27,3.0,16390.0
2016-09-27,4.0,12340.0
2016-09-27,6.0,7055.0
2016-09-27,7.0,5254.0
2016-09-27,8.0,3819.0
2016-09-27,12.0,487.0
2016-09-27,13.0,276.0
2016-09-27,14.0,171.0
2016-09-27,15.0,118.0
2016-09-27,16.0,74.0
2016-09-27,17.0,27.0
2016-09-27,18.0,14.0
2016-09-27,19.0,5.0
2016-09-27,20.0,6.0
2016-09-27,21.0,12.0
2016-09-27,22.0,11.0
2016-09-27,23.0,2.0
2016-09-27,24.0,5.0
2016-09-27,5.0,9355.0
2016-09-27,9.0,2388.0
2016-09-27,10.0,1415.0
2016-09-27,11.0,964.0
2016-09-28,0.0,151494.0
2016-09-28,1.0,31411.0
2016-09-28,2.0,16352.0
2016-09-28,3.0,11458.0
2016-09-28,4.0,9115.0
2016-09-28,5.0,7394.0
2016-09-28,6.0,6295.0
2016-09-28,7.0,5306.0
2016-09-28,8.0,4370.0
2016-09-28,9.0,3697.0
2016-09-28,10.0,3038.0
2016-09-28,11.0,2468.0
2016-09-28,12.0,1880.0
2016-09-28,13.0,1380.0
2016-09-28,14.0,876.0
2016-09-28,15.0,553.0
2016-09-28,-1.0,26969.0
2016-09-28,16.0,303.0
2016-09-28,17.0,94.0
2016-09-28,18.0,25.0
2016-09-28,19.0,12.0
2016-09-29,-1.0,24700.0
2016-09-29,0.0,143883.0
2016-09-29,1.0,31859.0
2016-09-29,2.0,16155.0
2016-09-29,3.0,10909.0
2016-09-29,4.0,7997.0
2016-09-29,5.0,6691.0
2016-09-29,6.0,5460.0
2016-09-29,7.0,4537.0
2016-09-29,8.0,3783.0
2016-09-29,9.0,2996.0
2016-09-29,10.0,2235.0
2016-09-29,11.0,1545.0
2016-09-29,12.0,941.0
2016-09-29,13.0,562.0
2016-09-29,14.0,237.0
2016-09-29,15.0,96.0
2016-09-29,16.0,57.0
2016-09-29,17.0,11.0
